Species,Longitude,Latitude
Tyrannosauridae,-81.52261074,34.88353143
Tyrannosauridae,-81.59049963,34.82094693
Tyrannosauridae,-84.42310685,58.39690593
Tyrannosauridae,-84.31518301,58.49478724
Tyrannosauridae,-84.22281471,58.55171325
Tyrannosauridae,-84.22281471,58.55171325
Tyrannosauridae,-84.42309475,58.11831295
Tyrannosauridae,-84.44331604,58.10966787
Tyrannosauridae,-84.22479975,60.05802324
Tyrannosauridae,-84.2506522,57.9961852
Tyrannosauridae,-84.22281471,58.55171325
Tyrannosauridae,-84.22281471,58.55171325
Tyrannosauridae,-84.22281471,58.55171325
Tyrannosauridae,-81.11816392,34.96017774
Tyrannosauridae,-81.11816392,34.96017774
Tyrannosauridae,-126.2980601,80.73179044
Tyrannosauridae,-85.32449123,56.55339846
Tyrannosauridae,-80.53113089,45.39869896
Tyrannosauridae,-80.53113089,45.39869896
Tyrannosauridae,-80.30685721,45.42464729
Tyrannosauridae,-80.39526215,45.49651043
Tyrannosauridae,-80.37315803,45.23268998
Tyrannosauridae,-80.32616107,45.45412966
Tyrannosauridae,-80.39526215,45.49651043
Tyrannosauridae,-81.6462954,47.80862472
Tyrannosauridae,-81.6462954,47.80862472
Tyrannosauridae,-81.8092137,47.69530288
Tyrannosauridae,-81.60541208,47.80585024
Tyrannosauridae,-81.63459504,47.81093073
Tyrannosauridae,-81.63495174,47.82873425
Tyrannosauridae,-81.62956484,47.81132437
Tyrannosauridae,-81.64699105,47.81386372
Tyrannosauridae,-81.63747004,47.80786455
Tyrannosauridae,-80.83439573,55.49181051
Tyrannosauridae,-80.07239816,53.4302885
Tyrannosauridae,-76.26993159,51.25100594
Tyrannosauridae,-79.79543033,52.80308383
Tyrannosauridae,-78.86607007,53.2102102
Tyrannosauridae,-78.77941893,53.23116832
Tyrannosauridae,-74.02033924,51.71203241
Tyrannosauridae,-74.02033924,51.71203241
Tyrannosauridae,-76.79470484,50.87219608
Tyrannosauridae,-76.36184167,51.58904262
Tyrannosauridae,-76.36184167,51.58904262
Tyrannosauridae,-77.7007859,51.26130419
Tyrannosauridae,-78.60026346,53.37557407
Tyrannosauridae,-78.60026346,53.37557407
Tyrannosauridae,-78.12813306,51.16515704
Tyrannosauridae,-78.79847774,53.33709931
Tyrannosauridae,-75.25377955,50.00653571
Tyrannosauridae,-79.66668932,53.33375329
Tyrannosauridae,-79.78402924,53.28588994
Tyrannosauridae,-77.04067421,51.21834731
Tyrannosauridae,-77.04067421,51.21834731
Tyrannosauridae,-76.80582751,51.21067764
Tyrannosauridae,-76.80055992,51.26010081
Tyrannosauridae,-76.80055992,51.26010081
Tyrannosauridae,-76.80055992,51.26010081
Tyrannosauridae,-76.80055992,51.26010081
Tyrannosauridae,-76.80055992,51.26010081
Tyrannosauridae,-76.7874069,51.37205424
Tyrannosauridae,-76.83500663,51.65788554
Tyrannosauridae,-76.87143358,51.63840278
Tyrannosauridae,-75.83297071,51.54188777
Tyrannosauridae,-76.90174634,51.72831642
Tyrannosauridae,-76.81905688,51.58058639
Tyrannosauridae,-76.81905688,51.58058639
Tyrannosauridae,-76.81905688,51.58058639
Tyrannosauridae,-76.87924204,51.72472802
Tyrannosauridae,-76.87924204,51.72472802
Tyrannosauridae,-76.80747703,51.60857677
Tyrannosauridae,-77.02773759,51.20620397
Tyrannosauridae,-77.02773759,51.20620397
Tyrannosauridae,-77.02773759,51.20620397
Tyrannosauridae,-74.70543632,50.40944854
Tyrannosauridae,-78.91856748,53.59432236
Tyrannosauridae,-78.91856748,53.59432236
Tyrannosauridae,-77.42840244,50.81795124
Tyrannosauridae,-79.77167156,53.31548198
Tyrannosauridae,-79.78402924,53.28588994
Tyrannosauridae,-79.78402924,53.28588994
Tyrannosauridae,-74.70543632,50.40944854
Tyrannosauridae,-76.83597005,50.27176599
Tyrannosauridae,-76.83597005,50.27176599
Tyrannosauridae,-79.54778545,53.32985101
Tyrannosauridae,-79.54778545,53.32985101
Tyrannosauridae,-83.92550434,53.23362424
Tyrannosauridae,-78.3590326,51.12916608
Tyrannosauridae,-79.78402924,53.28588994
Tyrannosauridae,-81.11816392,34.96017774
Tyrannosauridae,-81.11816392,34.96017774
Tyrannosauridae,-78.46342353,48.71587235
Tyrannosauridae,-78.68914172,48.61446242
Tyrannosauridae,-78.79459507,48.83867862
Tyrannosauridae,-82.73853446,51.05417575
Tyrannosauridae,-78.6764123,48.49248436
Tyrannosauridae,-78.6764123,48.49248436
Tyrannosauridae,-78.81809922,48.58301234
Tyrannosauridae,-82.56197089,47.6480921
Tyrannosauridae,-78.46141022,48.86137888
Tyrannosauridae,-78.10875084,53.80232233
Tyrannosauridae,-78.20852744,48.49894562
Tyrannosauridae,-78.77924584,48.73148082
Tyrannosauridae,-79.62700451,48.22932027
Tyrannosauridae,-78.55764549,48.85651429
Tyrannosauridae,-77.47081497,50.80537803
Tyrannosauridae,-78.65172437,50.85500948
Tyrannosauridae,-80.20885043,48.56039184
Tyrannosauridae,-83.39613514,50.28740507
Tyrannosauridae,-79.57178791,45.8992276
Tyrannosauridae,-86.89602007,37.4309795
Tyrannosauridae,-86.89602007,37.4309795
Tyrannosauridae,-84.40352347,39.34460812
Tyrannosauridae,-84.47045247,39.26500545
Tyrannosauridae,-84.33162575,42.31521646
Tyrannosauridae,-85.48571739,42.5562722
Tyrannosauridae,-81.17287815,42.1834375
Tyrannosauridae,-84.33014914,58.9114368
Tyrannosauridae,-84.43028581,58.38290369
Tyrannosauridae,-84.43331993,58.48874844
Tyrannosauridae,-84.65306335,58.54751818
Tyrannosauridae,-86.73239191,56.43399682
