"","siteID","mean_DEM","mean_prec","mean_temp","counting_colls$Coll_count"
"1",1447,696.849822253716,41.2743904299852,2.85284554667589,14
"2",1448,617.929832458496,39.4538681847709,2.92752962878772,7
"3",1449,579.575561523438,39.5,2.64166665077209,1
"4",1530,916.865668402778,45.4629626803928,2.78148154417674,6
"5",1534,674.596069335938,43.6666679382324,2.36666655540466,1
"6",1619,690.39128112793,40.5624990463257,2.94791668653488,5
"7",1702,853.252807617188,38.5833320617676,3.34999990463257,1
"8",1703,789.822265625,35.3333320617676,2.98750001192093,3
"9",1706,646.915954589844,30.4444443384806,2.1430553595225,2
"10",1785,821.261637369792,33.5972210566203,3.43749992052714,5
"11",1786,773.131491142407,32.6656920672857,3.55628655389038,78
"12",1788,761.083066742996,26.6896547120193,2.94712648720577,5
"13",1790,580.051452636719,28.25,3.13333320617676,1
"14",1869,948.611450195312,33.0833320617676,4.39166641235352,1
"15",1870,678.450307030158,27.6517552733977,4.86784719332067,367
"16",1871,694.288242505944,25.8532605793165,4.48007255015166,12
"17",1873,593.785278320312,27.5833339691162,4.50833320617676,1
"18",1950,1264.388671875,45.8333320617676,4.68333339691162,1
"19",1951,954.782165527344,33.5416679382324,5.44583344459534,2
"20",1952,1085.61249796549,34.9930548667908,5.59166666865349,13
"21",1953,826.707359900841,29.6025641514705,5.6801282442533,10
"22",1954,937.706773458259,28.6933146986195,5.28789280875553,46
"23",1955,922.275146484375,26,4.15833330154419,1
"24",2034,2469.9228515625,63.8333320617676,-1.40000009536743,6
"25",2035,1251.64864551778,30.3767006932473,5.65314628518358,39
"26",2037,908.504549248274,25.7054263935533,5.5696705385696,23
"27",2038,806.7523916739,25.9999997880724,6.29104953342014,9
"28",2040,741.98908996582,26.125,6.1708333492279,4
"29",2041,678.556518554688,24.8333339691162,6.09999990463257,2
"30",2118,1370.11696713931,28.6655840192522,6.30465364765811,29
"31",2120,930.812215169271,34.3055559794108,7.30277792612712,2
"32",2121,944.623028254105,29.524010739084,6.76610156237069,12
"33",2122,770.548099517822,27.515625,7.49791666865349,9
"34",2123,920.926330566406,28.4166660308838,6.0750002861023,1
"35",2124,694.615936279297,26.375,7.59166646003723,2
"36",2204,1244.15602487033,28.1065572207091,7.01714477773573,16
"37",2205,884.512419327446,28.7826092761496,8.08550749654355,4
"38",2285,1301.41259765625,25.3333339691162,7.13333320617676,1
"39",2286,1707.67215983073,39.1666666666667,5.3805554707845,2
"40",2292,1023.82138061523,29.9583339691162,7.25416684150696,2
"41",2369,2694.947265625,54,0.116666674613953,2
"42",2371,1912.79821777344,26.6666660308838,5.2999997138977,1
"43",2372,1395.19186401367,20.3611106872559,7.34444439411163,10
"44",2452,2422.69719587054,46.7142862592425,0.945238070828574,3
"45",2453,2423.39990234375,27.75,2.40833330154419,1
"46",2454,1639.51790364583,21.4722226460775,6.78888877232869,2
"47",2455,1783.69856262207,22.78125,6.4833334684372,2
"48",2459,1039.61889648438,33.75,8.5,1
"49",2538,1923.42724609375,20.6666660308838,6.31666660308838,1
"50",2618,2210.59130859375,22.4166660308838,3.57499980926514,1
"51",2619,1987.44494628906,16.5595237186977,5.54285717010498,7
"52",2620,2068.32421875,16.5833326975505,5.16111103693644,3
"53",2702,1522.58776855469,18.6666660308838,8.48333358764648,1
"54",2703,1719.70833646334,22.9807686438927,8.36410243694599,3
"55",2704,2105.48876953125,35.5833320617676,5.7916669845581,1
"56",2784,2082.03615025112,26.9761905670166,7.09642859867641,5
"57",2785,1791.55676269531,22.8333339691162,10.125,1
"58",2786,1917.91320800781,30.1666660308838,6.81666660308838,2
"59",2787,2224.62841796875,35.25,5.33333301544189,2
"60",2870,2077.12817382812,28.8333339691162,7.83333349227905,1
"61",2948,2427.93856859964,35.6269834003751,5.69775136690291,22
"62",2949,1815.13364016782,19.818471258613,10.3115711713293,111
"63",2950,1601.65618896484,17.9999995231628,12.1291670799255,2
"64",3035,1825.38333014797,19.365734703054,10.8822280191786,347
"65",3036,1963.88611657841,20.1460480739161,9.9002577693192,95
"66",3038,2591.42553710938,41.5,5.41666698455811,1
"67",3118,2206.6181640625,30.6666660308838,8.5416669845581,1
"68",3119,2013.69188168174,19.8464912615324,9.35160849387186,34
"69",3120,2438.29516601562,41.6666666666667,7.11666679382324,3
"70",3285,1321.251953125,21.4166660308838,15.4333333969116,6
"71",3364,1020.419921875,34.75,19.4333324432373,1
"72",3367,1356.77691650391,29.0416669845581,15.3833336830139,2
