"","y.1","y.2","y.3","y.4","y.5"
"5881",1,0,0,1,1
"5882",0,1,0,0,1
"5883",1,1,0,0,1
"6047",1,0,1,1,NA
"6048",0,0,NA,NA,NA
"6222",0,NA,NA,NA,NA
"6891",0,NA,NA,NA,NA
"6898",0,0,NA,NA,NA
"7057",0,NA,NA,NA,NA
"7066",0,NA,NA,NA,NA
"7228",0,0,0,0,0
"7391",0,0,0,1,0
"7392",0,0,0,0,0
"7394",0,NA,NA,NA,NA
"7557",0,NA,NA,NA,NA
"7558",0,0,0,0,0
"7560",1,NA,NA,NA,NA
"7718",0,NA,NA,NA,NA
"7724",0,NA,NA,NA,NA
"7726",0,0,0,NA,NA
"7891",0,0,0,0,0
"7892",0,0,0,0,0
"7894",1,NA,NA,NA,NA
"8057",0,0,0,0,0
"8058",0,0,NA,NA,NA
"8059",0,0,0,0,0
"8063",0,0,0,NA,NA
"8224",0,NA,NA,NA,NA
"8231",0,NA,NA,NA,NA
"8385",0,NA,NA,NA,NA
"8389",0,NA,NA,NA,NA
"8390",0,NA,NA,NA,NA
"8391",0,0,0,0,0
"8392",0,0,NA,NA,NA
"8393",0,0,0,0,1
"8397",0,0,NA,NA,NA
"8557",1,NA,NA,NA,NA
"8560",0,NA,NA,NA,NA
"8726",0,1,1,NA,NA
"8889",0,1,0,0,0
"8890",0,0,0,0,0
"8891",0,NA,NA,NA,NA
"9051",1,NA,NA,NA,NA
"9053",0,NA,NA,NA,NA
"9066",0,NA,NA,NA,NA
"9232",0,NA,NA,NA,NA
"9720",0,NA,NA,NA,NA
"9897",0,NA,NA,NA,NA
"10384",0,0,0,0,0
"10385",0,0,0,NA,NA
"10883",0,0,NA,NA,NA
"10885",0,NA,NA,NA,NA
"11050",0,NA,NA,NA,NA
"11213",0,NA,NA,NA,NA
"11707",0,0,0,0,0
"11708",0,0,0,0,0
"11710",0,0,NA,NA,NA
"11871",0,0,NA,NA,NA
"11872",0,0,0,0,0
"11873",1,0,0,0,0
"11874",0,0,0,0,0
"12045",0,NA,NA,NA,NA
"12046",0,0,0,0,0
"12047",0,NA,NA,NA,NA
"12211",0,0,0,0,0
"12212",0,0,0,0,0
"12213",0,0,0,0,0
"12217",0,NA,NA,NA,NA
"12379",0,0,0,0,0
"12380",0,0,0,0,0
"12381",0,0,0,NA,NA
"12543",0,NA,NA,NA,NA
"13534",0,NA,NA,NA,NA
